"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         201,      -3.957485498,      -1.443840004,      -1.863433802,       1.248009837
          0,           0,         202,      -3.980054864,      -1.480438498,      -1.872444913,       1.228767277
          0,           0,         203,      -3.998296788,      -1.498746247,      -1.886859319,       1.220334875
          0,           0,         204,      -4.012553208,      -1.508485932,      -1.908309974,       1.213815766
          0,           0,         205,      -4.025273954,      -1.527925309,      -1.932302088,       1.197403461
          0,           0,         206,      -4.035888478,      -1.559158342,      -1.950430602,        1.16928187
          0,           0,         207,      -4.040758297,      -1.582069187,       -1.95780399,       1.140680443
          0,           0,         208,      -4.038417976,      -1.574869164,       -1.95791779,       1.127118945
          0,           0,         209,      -4.033113791,      -1.547853845,      -1.957939772,       1.130009639
          0,           0,         210,      -4.031674119,      -1.528384463,      -1.961748762,       1.135133277
          0,           0,         211,      -4.038338833,       -1.53097625,      -1.968545992,       1.130346697
          0,           0,         212,      -4.052677897,      -1.554231629,      -1.976059577,       1.114823757
          0,           0,         213,      -4.070710405,       -1.58576648,      -1.984193193,       1.096576028
          0,           0,         214,      -4.087992568,      -1.610805157,      -1.995419946,       1.083605243
          0,           0,         215,      -4.102598561,      -1.626040742,      -2.011829862,       1.074915296
          0,           0,         216,       -4.11512399,      -1.640936686,      -2.032111188,       1.062445949
          0,           0,         217,      -4.125965716,      -1.662370747,      -2.051264427,       1.040976709
          0,           0,         218,      -4.133660776,      -1.683744975,      -2.064003517,       1.014365226
          0,           0,         219,      -4.136554574,       -1.68992864,       -2.06936706,      0.9938258146
          0,           0,         220,       -4.13569483,      -1.677117263,      -2.071076231,      0.9871077356
          0,           0,         221,      -4.135003243,      -1.659834866,      -2.073371009,      0.9892002846
          0,           0,         222,      -4.138473952,      -1.653709598,      -2.077856358,      0.9890371435
          0,           0,         223,      -4.147624834,      -1.663965613,      -2.083937291,      0.9808625395
          0,           0,         224,      -4.161065101,      -1.685882549,      -2.091115239,      0.9669714323
          0,           0,         225,       -4.17590406,      -1.709568662,      -2.100358674,      0.9533437875
          0,           0,         226,      -4.189830905,      -1.728001821,       -2.11320242,      0.9426582636
          0,           0,         227,      -4.202162298,      -1.742644031,      -2.129713053,      0.9314517412
          0,           0,         228,      -4.213012256,      -1.758617862,      -2.147391072,      0.9147395355
          0,           0,         229,      -4.221917144,      -1.775754075,      -2.162270833,      0.8921996403
          0,           0,         230,      -4.227842107,      -1.786663791,      -2.171776266,      0.8700248667
          0,           0,         231,      -4.230642426,      -1.785062317,      -2.176636962,      0.8562760339
          0,           0,         232,      -4.232071466,      -1.775046681,      -2.179688373,      0.8525240214
          0,           0,         233,      -4.234921945,      -1.767424963,      -2.183279018,      0.8523319708
          0,           0,         234,      -4.241212071,      -1.769821899,      -2.188172596,      0.8486731511
          0,           0,         235,      -4.251114041,      -1.782740645,      -2.194346044,      0.8396781458
          0,           0,         236,      -4.263229543,       -1.80117106,      -2.202174372,      0.8281128555
          0,           0,         237,      -4.275754994,      -1.819035543,      -2.212567792,      0.8170782577
          0,           0,         238,      -4.287550274,      -1.833962825,      -2.225977716,      0.8062392682
          0,           0,         239,      -4.298258437,      -1.847672925,       -2.24135866,      0.7924962459
          0,           0,         240,      -4.307637266,      -1.861476899,      -2.256206673,      0.7740522963
          0,           0,         241,      -4.315143931,      -1.872811083,      -2.267961169,      0.7534200768
          0,           0,         242,      -4.320406512,      -1.877321286,      -2.275735256,       0.736439784
          0,           0,         243,      -4.324014092,      -1.874536989,      -2.280674036,      0.7272563633
          0,           0,         244,      -4.327562215,       -1.86967451,      -2.284690577,      0.7241705033
          0,           0,         245,      -4.332763013,      -1.869157152,      -2.289135202,      0.7218283282
          0,           0,         246,      -4.340455367,      -1.875988199,      -2.294575344,      0.7164378668
          0,           0,         247,      -4.350296533,      -1.888802194,      -2.301373674,      0.7078976408
          0,           0,         248,       -4.36121791,       -1.90382087,      -2.310087434,      0.6980870727
          0,           0,         249,      -4.372171204,      -1.917972116,      -2.321167438,      0.6878964481
          0,           0,         250,      -4.382548214,       -1.93067705,      -2.334288039,      0.6760822753
